compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_16715	CHEBI_16715	1	0	
Compound::CHEBI_87331	CHEBI_87331	1	1	human xenobiotic metabolite
Compound::CHEBI_132280	CHEBI_132280	1	0	
Compound::CHEBI_89719	CHEBI_89719	1	3	human metabolite; insect attractant; plant metabolite
Compound::CHEBI_157647	CHEBI_157647	1	0	
Compound::CHEBI_87833	CHEBI_87833	1	0	
Compound::CHEBI_16188	CHEBI_16188	1	1	plant metabolite
Compound::CHEBI_133820	CHEBI_133820	1	0	
Compound::CHEBI_74548	CHEBI_74548	1	0	
Compound::CHEBI_85655	CHEBI_85655	1	0	
Compound::CHEBI_78844	CHEBI_78844	1	0	
Compound::CHEBI_83992	CHEBI_83992	1	0	
